"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","definition"
"GO:0019814",1.16068435905015e-32,1,98,132,"immunoglobulin complex","CC",1.38237507162873e-29,"A protein complex that in its canonical form is composed of two identical immunoglobulin heavy chains and two identical immunoglobulin light chains, held together by disulfide bonds and sometimes complexed with additional proteins. An immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."
"GO:0002250",6.43874992793326e-26,1,275,633,"adaptive immune response","BP",3.83427558208426e-23,"An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."
"GO:0006955",4.84269828955641e-23,1,617,1798,"immune response","BP",1.92255122095389e-20,"Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"GO:0002376",4.48503792161975e-22,1,822,2529,"immune system process","BP",1.33542004116228e-19,"Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"GO:0003823",3.38515039878774e-21,1,90,147,"antigen binding","MF",8.0634282499124e-19,"Binding to an antigen, any substance which is capable of inducing a specific immune response and of reacting with the products of that response, the specific antibody or specifically sensitized T-lymphocytes, or both. Binding may counteract the biological activity of the antigen. Antigen binding by an MHC protein complex allows the antigen to be displayed to a T cell or NK cell."
"GO:0045321",1.26865390911366e-13,1,320,905,"leukocyte activation","BP",2.30360621670071e-11,"A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."
"GO:0002460",1.35392472853946e-13,1,152,361,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",2.30360621670071e-11,"An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."
"GO:0019724",1.73248822176395e-13,1,91,183,"B cell mediated immunity","BP",2.57924184015107e-11,"Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."
"GO:0016064",2.49431699002588e-13,1,90,181,"immunoglobulin mediated immune response","BP",3.30081281680092e-11,"An immune response mediated by immunoglobulins, whether cell-bound or in solution."
"GO:0001775",9.79179406372884e-13,1,357,1042,"cell activation","BP",1.1662026729901e-10,"A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."
"GO:0046649",2.55483167713189e-12,1,270,754,"lymphocyte activation","BP",2.76618593405826e-10,"A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0002684",2.77995698763746e-11,1,348,1040,"positive regulation of immune system process","BP",2.75910731023018e-09,"Any process that activates or increases the frequency, rate, or extent of an immune system process."
"GO:0002449",3.40238226599214e-11,1,139,345,"lymphocyte mediated immunity","BP",3.11710559907434e-09,"Any process involved in the carrying out of an immune response by a lymphocyte."
"GO:0002682",3.66606753504676e-11,1,472,1482,"regulation of immune system process","BP",3.11877602445764e-09,"Any process that modulates the frequency, rate, or extent of an immune system process."
"GO:0050896",1.66903105255264e-10,1,2128,7831,"response to stimulus","BP",1.32521065572679e-08,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
"GO:0048518",1.88131977897741e-10,1,1604,5726,"positive regulation of biological process","BP",1.39861559228079e-08,"Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
"GO:0034097",1.99634467412036e-10,1,288,846,"response to cytokine","BP",1.39861559228079e-08,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."
"GO:1901652",2.15534464279529e-10,1,292,860,"response to peptide","BP",1.42611970531622e-08,NA
"GO:0048522",2.38221518091458e-10,1,1460,5166,"positive regulation of cellular process","BP",1.49327277919435e-08,"Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
"GO:0002764",2.75663413014416e-10,1,194,527,"immune response-regulating signaling pathway","BP",1.64157562450085e-08,"The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."
"GO:0002757",3.06983547099349e-10,1,182,487,"immune response-activating signaling pathway","BP",1.74103525997774e-08,"The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."
"GO:0002252",3.30201718869553e-10,1,229,650,"immune effector process","BP",1.78759203260744e-08,"Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."
"GO:0071219",3.80110106601612e-10,1,89,201,"cellular response to molecule of bacterial origin","BP",1.96830929114139e-08,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."
"GO:0002768",4.7019098130443e-10,1,133,334,"immune response-regulating cell surface receptor signaling pathway","BP",2.31787514083032e-08,"The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."
"GO:0030098",4.8653970210544e-10,1,154,397,"lymphocyte differentiation","BP",2.31787514083032e-08,"The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."
"GO:0002237",6.47636938880382e-10,1,126,316,"response to molecule of bacterial origin","BP",2.87855891505241e-08,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."
"GO:0002521",6.52570031120193e-10,1,209,578,"leukocyte differentiation","BP",2.87855891505241e-08,"The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."
"GO:0048583",6.99374681175555e-10,1,1082,3747,"regulation of response to stimulus","BP",2.97484016171459e-08,"Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
"GO:0071345",8.51190585370571e-10,1,260,760,"cellular response to cytokine stimulus","BP",3.49575167991845e-08,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."
"GO:0050776",1.23265881004546e-09,1,301,907,"regulation of immune response","BP",4.89365547588047e-08,"Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
"GO:0002443",1.34396218026377e-09,1,160,430,"leukocyte mediated immunity","BP",5.16341598933596e-08,"Any process involved in the carrying out of an immune response by a leukocyte."
"GO:0002253",1.41925258819243e-09,1,197,546,"activation of immune response","BP",5.2822807266787e-08,"Any process that initiates an immune response."
"GO:1903131",2.01543362554139e-09,1,179,486,"mononuclear cell differentiation","BP",7.27388317581756e-08,NA
"GO:0050778",2.57256389534264e-09,1,248,727,"positive regulation of immune response","BP",9.0115399980973e-08,"Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
"GO:0071216",2.73397486759712e-09,1,96,228,"cellular response to biotic stimulus","BP",9.30332590659476e-08,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."
"GO:0071222",2.84863105294627e-09,0.999999998877201,84,191,"cellular response to lipopolysaccharide","BP",9.42422106683057e-08,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."
"GO:0002429",4.39009149643084e-09,1,122,309,"immune response-activating cell surface receptor signaling pathway","BP",1.41313485736463e-07,"The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of a cell, leading to the activation or perpetuation of an immune response."
"GO:0048584",4.57307945867954e-09,1,651,2172,"positive regulation of response to stimulus","BP",1.43329937770719e-07,"Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
"GO:0032496",5.05309993686217e-09,1,118,300,"response to lipopolysaccharide","BP",1.54313898071868e-07,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."
"GO:0050865",8.72914496160355e-09,1,208,599,"regulation of cell activation","BP",2.59910291231746e-07,"Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."
"GO:0009966",1.0005572276991e-08,1,838,2853,"regulation of signal transduction","BP",2.90649672729177e-07,"Any process that modulates the frequency, rate or extent of signal transduction."
"GO:0002694",1.19472008293994e-08,1,191,544,"regulation of leukocyte activation","BP",3.38788480662254e-07,"Any process that modulates the frequency, rate, or extent of leukocyte activation."
"GO:0030097",1.24705419026295e-08,1,295,894,"hemopoiesis","BP",3.45405009442598e-07,"The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."
"GO:0050851",1.49230533480374e-08,1,86,202,"antigen receptor-mediated signaling pathway","BP",4.03939921307102e-07,"The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."
"GO:0042110",1.62565336067172e-08,1,191,544,"T cell activation","BP",4.30256256124449e-07,"The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
"GO:0051707",1.75935176949149e-08,1,424,1384,"response to other organism","BP",4.55519121187905e-07,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
"GO:0042113",1.93896126069048e-08,1,102,251,"B cell activation","BP",4.9134103435795e-07,"The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
"GO:0043207",2.08011957543115e-08,1,424,1386,"response to external biotic stimulus","BP",5.16129669653853e-07,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."
"GO:0009607",2.78990131363666e-08,1,434,1425,"response to biotic stimulus","BP",6.78116829498218e-07,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."
"GO:0019221",3.33184977571529e-08,1,164,463,"cytokine-mediated signaling pathway","BP",7.890290206652e-07,"The series of molecular signals initiated by the binding of a cytokine to a receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."
"GO:0009617",3.37871369050589e-08,1,200,589,"response to bacterium","BP",7.890290206652e-07,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."
"GO:0051249",5.76149666266964e-08,1,169,480,"regulation of lymphocyte activation","BP",1.31960433177683e-06,"Any process that modulates the frequency, rate or extent of lymphocyte activation."
"GO:0023051",6.75548442219803e-08,1,932,3233,"regulation of signaling","BP",1.5180720654411e-06,"Any process that modulates the frequency, rate or extent of a signaling process."
"GO:0010646",8.41573702235604e-08,1,933,3240,"regulation of cell communication","BP",1.85613755437519e-06,"Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
"GO:0050853",1.02771345377873e-07,0.999999972563566,39,72,"B cell receptor signaling pathway","BP",2.22546676990995e-06,"The series of molecular signals initiated by the cross-linking of an antigen receptor on a B cell."
"GO:0007165",1.32842899513894e-07,1,1446,5267,"signal transduction","BP",2.80131013775632e-06,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"GO:0030217",1.34067739590353e-07,1,115,300,"T cell differentiation","BP",2.80131013775632e-06,"The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex."
"GO:1902531",1.75694198387468e-07,1,553,1841,"regulation of intracellular signal transduction","BP",3.60778948757714e-06,NA
"GO:0045619",1.9152810148174e-07,1,84,205,"regulation of lymphocyte differentiation","BP",3.86627065872462e-06,"Any process that modulates the frequency, rate or extent of lymphocyte differentiation."
"GO:0060759",2.27955621209726e-07,0.99999990292153,73,170,"regulation of response to cytokine stimulus","BP",4.52491908101307e-06,"Any process that modulates the rate, frequency, or extent of a response to cytokine stimulus."
"GO:0071735",2.44330626791784e-07,1,11,11,"IgG immunoglobulin complex","CC",4.77045535260679e-06,"A protein complex composed of two identical immunoglobulin heavy chains of an IgG isotype and two identical immunoglobulin light chains, held together by disulfide bonds. An IgG immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."
"GO:0044419",2.52623544494943e-07,1,460,1545,"biological process involved in interspecies interaction between organisms","BP",4.85281679828189e-06,"Any process evolved to enable an interaction with an organism of a different species."
"GO:0050794",3.0584358566786e-07,0.999999860445082,2607,9851,"regulation of cellular process","BP",5.78190016714955e-06,"Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
"GO:0002696",5.08571688062436e-07,1,126,348,"positive regulation of leukocyte activation","BP",9.4642012575369e-06,"Any process that activates or increases the frequency, rate, or extent of leukocyte activation."
"GO:0046651",6.36171313783228e-07,1,102,272,"lymphocyte proliferation","BP",1.16284322101569e-05,"The expansion of a lymphocyte population by cell division."
"GO:0070661",6.53694874086543e-07,1,114,312,"leukocyte proliferation","BP",1.16284322101569e-05,"The expansion of a leukocyte population by cell division."
"GO:0050867",6.54160334240566e-07,1,131,366,"positive regulation of cell activation","BP",1.16284322101569e-05,"Any process that activates or increases the frequency, rate or extent of activation."
"GO:0023052",6.68805896020457e-07,0.999999545279905,1560,5713,"signaling","BP",1.17139385611818e-05,"The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."
"GO:0045580",7.40011352899234e-07,0.999999668891503,74,177,"regulation of T cell differentiation","BP",1.27732394391737e-05,"Any process that modulates the frequency, rate or extent of T cell differentiation."
"GO:0007154",8.43324036570126e-07,0.999999389791352,1567,5740,"cell communication","BP",1.43485561079289e-05,"Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
"GO:0032943",1.28809909123491e-06,0.999999547720348,104,280,"mononuclear cell proliferation","BP",2.16074086994476e-05,"The expansion of a mononuclear cell population by cell division. A mononuclear cell is a leukocyte with a single non-segmented nucleus in the mature form."
"GO:0001959",2.05460547448622e-06,0.999999088239805,67,160,"regulation of cytokine-mediated signaling pathway","BP",3.39865988904596e-05,"Any process that modulates the frequency, rate or extent of the cytokine mediated signaling pathway."
"GO:0008283",2.31856622467296e-06,0.999998408889153,533,1803,"cell population proliferation","BP",3.78275667614452e-05,"The multiplication or reproduction of cells, resulting in the expansion of a cell population."
"GO:0035556",3.23624843150368e-06,0.999997564883186,810,2817,"intracellular signal transduction","BP",5.20861065124444e-05,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"GO:0009967",3.42762057222148e-06,0.999997599550709,443,1467,"positive regulation of signal transduction","BP",5.44306146868772e-05,"Any process that activates or increases the frequency, rate or extent of signal transduction."
"GO:1902105",3.82515525153874e-06,0.999998203653801,111,303,"regulation of leukocyte differentiation","BP",5.99442092708242e-05,NA
"GO:0065007",4.69268528709895e-06,0.999996177229027,2822,10771,"biological regulation","BP",7.25842620381149e-05,"Any process that modulates a measurable attribute of any biological process, quality or function."
"GO:0051251",5.04078749563137e-06,0.999997373146749,114,317,"positive regulation of lymphocyte activation","BP",7.60472262228161e-05,"Any process that activates or increases the frequency, rate or extent of lymphocyte activation."
"GO:0050789",5.04427445138747e-06,0.999995856928456,2735,10418,"regulation of biological process","BP",7.60472262228161e-05,"Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
"GO:0034612",5.26548628856497e-06,0.999997699135082,82,213,"response to tumor necrosis factor","BP",7.8389927121011e-05,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."
"GO:0048523",5.54897120749465e-06,0.999995505444867,1257,4539,"negative regulation of cellular process","BP",8.15904284953843e-05,"Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
"GO:0042100",5.69114554225175e-06,0.99999805367078,39,82,"B cell proliferation","BP",8.26604187905102e-05,"The expansion of a B cell population by cell division. Follows B cell activation."
"GO:0001227",6.46686634808878e-06,0.999996790249652,94,247,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF",9.27956363924547e-05,"A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets transcribed by RNA polymerase II."
"GO:0033209",6.60666766458885e-06,0.999997430150994,47,106,"tumor necrosis factor-mediated signaling pathway","BP",9.36731093872062e-05,"The series of molecular signals initiated by tumor necrosis factor binding to its receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."
"GO:0009605",6.87202263470326e-06,0.999994757505782,614,2138,"response to external stimulus","BP",9.62891642109598e-05,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."
"GO:0001217",7.08101943472649e-06,0.999996444573675,97,257,"DNA-binding transcription repressor activity","MF",9.80638854274331e-05,"A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets."
"GO:0007166",7.53315446869599e-06,0.999994118718906,735,2558,"cell surface receptor signaling pathway","BP",0.000102057969062285,"The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."
"GO:1903037",7.54080711795218e-06,0.999995938739048,126,359,"regulation of leukocyte cell-cell adhesion","BP",0.000102057969062285,NA
"GO:1903039",7.69853681089898e-06,0.999996094776965,99,269,"positive regulation of leukocyte cell-cell adhesion","BP",0.000103021992604277,NA
"GO:0007159",8.34291918015091e-06,0.999995420783882,136,394,"leukocyte cell-cell adhesion","BP",0.000110404630483997,"The attachment of a leukocyte to another cell via adhesion molecules."
"GO:0048519",9.19104229823808e-06,0.99999237890615,1349,4914,"negative regulation of biological process","BP",0.000120291553595622,"Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
"GO:0050863",1.03485233231808e-05,0.999994123542152,127,366,"regulation of T cell activation","BP",0.000133968383455525,"Any process that modulates the frequency, rate or extent of T cell activation."
"GO:1902533",1.13073824732459e-05,0.99999199219574,321,1043,"positive regulation of intracellular signal transduction","BP",0.000144807446512214,NA
"GO:0080134",1.19863647423145e-05,0.999991209310191,391,1308,"regulation of response to stress","BP",0.000151869791575495,"Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
"GO:0051767",1.25183693759912e-05,0.999998640016474,14,19,"nitric-oxide synthase biosynthetic process","BP",0.000155306020070891,"The chemical reactions and pathways resulting in the formation of a nitric-oxide synthase, an enzyme which catalyzes the reaction L-arginine + n NADPH + n H+ + m O2 = citrulline + nitric oxide + n NADP+."
