"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0002449";"lymphocyte mediated immunity";"167/3571";"386/18986";0,432642487046632;2,30023810111099;12,421914327155;5,70862465671446e-29;3,52964262524655e-25;3,18901800559828e-25;"AP1G1/ARG1/ARL8B/ATAD5/B2M/BATF/C4BPA/CALHM6/CCR2/CCR6/CD160/CD19/CD1A/CD1D/CD2/CD226/CD274/CD28/CD40/CD40LG/CD46/CD55/CD80/CD8A/CD96/CLEC12B/CR1/CR1L/CR2/CRTAM/CSF2RB/CTSC/CYRIB/DENND1B/EXO1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR2B/FCGR2C/FCGR3A/FCGR3B/FCMR/FUT7/FZD5/GATA3/GZMB/GZMM/HAVCR2/HLA-DRA/HLA-DRB1/IFNB1/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-5/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGHV7-4-1/IGHV7-81/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IGLC7/IGLL5/IL10/IL13RA2/IL18R1/IL18RAP/IL1B/IL21/IL21R/IL27RA/IL2RB/IL4/IL4I1/IL6/IL7R/KIR2DL4/KLRB1/KLRC1/KLRC2/KLRC3/KLRC4-KLRK1/KLRF2/KLRK1/LILRB4/LTA/LYST/MALT1/MAP3K7/MASP2/MYO1G/NBN/NCKAP1L/NCR3/NCR3LG1/NFKBIZ/NKG7/NOD2/P2RX7/PRF1/PRKCZ/PTPRC/RAET1L/RASGRP1/RFTN1/SLAMF1/SLAMF6/SLAMF7/SLC15A4/STX7/TBX21/TFRC/TLR8/TNFSF4/UFL1/ULBP2/XCL1";167
"GO:0002460";"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains";"169/3571";"400/18986";0,4225;2,24631335760291;12,1253069148143;7,48822514859576e-28;2,31498480468838e-24;2,09157951913672e-24;"ADAM17/ARG1/ATAD5/B2M/BACH2/BATF/C4BPA/CCL19/CCR2/CCR6/CD19/CD1A/CD1D/CD226/CD274/CD28/CD40/CD40LG/CD46/CD55/CD69/CD80/CD8A/CLEC6A/CLEC7A/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL13/CYRIB/DENND1B/ENTPD7/EXO1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR2B/FCGR2C/FCGR3A/FCGR3B/FCMR/FUT7/FZD5/GATA3/GZMM/HAVCR2/HLA-DRA/HLA-DRB1/IFNB1/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-5/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGHV7-4-1/IGHV7-81/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IGLC7/IGLL5/IL10/IL13RA2/IL18R1/IL1B/IL21R/IL27RA/IL2RB/IL4/IL4I1/IL6/IL7R/IRF4/JAK2/KLHL6/KLRC1/LEF1/LILRB4/LTA/MALT1/MAP3K7/MASP2/MEF2C/MTOR/MYO1G/NBN/NCKAP1L/NCR3LG1/NFKBIZ/NLRP10/NOD2/P2RX7/PLA2G4A/PRF1/PRKCQ/PRKCZ/PTPRC/RAET1L/RC3H1/RFTN1/RIPK2/RORC/SEMA4A/SLAMF1/SLAMF6/SLC15A4/STAT4/STX7/TBX21/TFRC/TLR4/TLR8/TNFAIP3/TNFSF13B/TNFSF4/UFL1/ULBP2/XCL1";169
"GO:0002443";"leukocyte mediated immunity";"191/3571";"485/18986";0,393814432989691;2,09380028696227;11,7446414280647;1,0015102326541e-26;2,0641125895001e-23;1,86491747533169e-23;"ADAM17/ADGRE2/AP1G1/ARG1/ARL8B/ATAD5/B2M/BATF/C4BPA/CALHM6/CCL3/CCR2/CCR6/CD160/CD177/CD19/CD1A/CD1D/CD2/CD226/CD274/CD28/CD40/CD40LG/CD46/CD55/CD80/CD84/CD8A/CD96/CLEC12B/CLEC7A/CR1/CR1L/CR2/CRTAM/CSF2RB/CTSC/CXCL6/CYRIB/DENND1B/EXO1/F2RL1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR2B/FCGR2C/FCGR3A/FCGR3B/FCMR/FGR/FUT7/FZD5/GATA3/GZMB/GZMM/HAVCR2/HLA-DRA/HLA-DRB1/IFNB1/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-5/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGHV7-4-1/IGHV7-81/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IGLC7/IGLL5/IL10/IL13RA2/IL18R1/IL18RAP/IL1B/IL21/IL21R/IL27RA/IL2RB/IL4/IL4I1/IL6/IL7R/IRAK4/KIR2DL4/KLRB1/KLRC1/KLRC2/KLRC3/KLRC4-KLRK1/KLRF2/KLRK1/LILRB4/LTA/LYN/LYST/MALT1/MAP3K7/MASP2/MYO1G/NBN/NCKAP1L/NCR3/NCR3LG1/NFKBIZ/NKG7/NLRP6/NOD2/NOS2/P2RX7/PIK3CD/PIK3CG/PLA2G3/PLCG2/PRF1/PRKCZ/PTGDR/PTPRC/RAC2/RAET1L/RASGRP1/RFTN1/SCNN1B/SLAMF1/SLAMF6/SLAMF7/SLC15A4/STAP1/STX7/SYK/TBX21/TFRC/TLR4/TLR8/TNFSF4/TREM1/UFL1/ULBP2/XCL1";191
"GO:0002768";"immune response-regulating cell surface receptor signaling pathway";"154/3571";"369/18986";0,417344173441734;2,21890128170394;11,3803423964669;8,30927853551017e-25;1,28440672962649e-21;1,16045634705138e-21;"APPL2/BANK1/BCL2/BLK/BLNK/BMX/BTLA/BTN2A2/BTN3A1/C3AR1/CCR7/CD160/CD19/CD200R1/CD22/CD226/CD24/CD28/CD38/CD3D/CD3E/CD40/CD72/CD79A/CD79B/CD8A/CD8B/CHUK/CLEC12B/CLEC4D/CLEC6A/CLEC7A/CR1/CR2/CTLA4/CYLD/DENND1B/ELF1/F2RL1/FCER2/FCGR1A/FCGR2A/FCGR2B/FCGR2C/FCGR3A/FCGR3B/FCMR/FCRL3/FGR/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GPR33/HLA-DRB1/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC6/IGLC7/IRAK4/ITK/KLHL6/KLRC1/KLRC2/KLRC3/KLRC4-KLRK1/KLRK1/LAPTM5/LBP/LCK/LCP2/LILRA4/LILRB4/LPXN/LTF/LY96/LYN/MALT1/MAP2K4/MAP3K1/MAP3K7/MAPK8/MAPK9/MEF2C/MFHAS1/MNDA/MS4A1/MYO1G/NCKAP1L/NCR3/NFKB1/NFKBIZ/NMI/NOD2/PDE4B/PDE4D/PELI1/PIK3AP1/PIK3CD/PLCG2/PLCL2/PLSCR1/PRKCB/PRKCE/PRKCQ/PTPN2/PTPN22/PTPRC/PTPRJ/PVRIG/RAB29/RC3H1/RFTN1/RIPK2/S100A14/SKAP1/STAP1/SYK/TAX1BP1/TEC/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TMEM126A/TNFAIP3/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC1/TRGC2/TXK/UBASH3A/UBR2/VAV3/VTCN1/ZAP70";154
"GO:0016064";"immunoglobulin mediated immune response";"103/3571";"209/18986";0,492822966507177;2,62020073987826;11,3359344876363;1,33099815217165e-23;1,64591231497546e-20;1,48707519864736e-20;"ATAD5/BATF/C4BPA/CCR6/CD19/CD226/CD28/CD40/CD40LG/CD46/CD55/CR1/CR1L/CR2/CSF2RB/EXO1/FCER2/FCGR1A/FCGR2A/FCGR2B/FCGR2C/FCGR3A/FCGR3B/FCMR/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-5/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGHV7-4-1/IGHV7-81/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IGLC7/IGLL5/IL10/IL13RA2/IL21R/IL27RA/IL2RB/IL4/LTA/MASP2/NBN/NCR3LG1/NFKBIZ/NOD2/PTPRC/SLC15A4/TBX21/TFRC/TLR8/TNFSF4/XCL1";103
"GO:0019724";"B cell mediated immunity";"103/3571";"212/18986";0,485849056603774;2,58312242752149;11,1566160282097;5,4251793559946e-23;5,59064732635244e-20;5,05112751618655e-20;"ATAD5/BATF/C4BPA/CCR6/CD19/CD226/CD28/CD40/CD40LG/CD46/CD55/CR1/CR1L/CR2/CSF2RB/EXO1/FCER2/FCGR1A/FCGR2A/FCGR2B/FCGR2C/FCGR3A/FCGR3B/FCMR/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-5/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGHV7-4-1/IGHV7-81/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IGLC7/IGLL5/IL10/IL13RA2/IL21R/IL27RA/IL2RB/IL4/LTA/MASP2/NBN/NCR3LG1/NFKBIZ/NOD2/PTPRC/SLC15A4/TBX21/TFRC/TLR8/TNFSF4/XCL1";103
"GO:0002429";"immune response-activating cell surface receptor signaling pathway";"136/3571";"336/18986";0,404761904761905;2,15200490725554;10,2544650918862;1,30946751328643e-20;1,15663394780714e-17;1,04501414932497e-17;"APPL2/BANK1/BCL2/BLK/BLNK/BMX/BTN2A2/BTN3A1/C3AR1/CCR7/CD160/CD19/CD22/CD226/CD28/CD38/CD3D/CD3E/CD72/CD79A/CD79B/CD8A/CD8B/CHUK/CLEC6A/CLEC7A/CR1/CR2/CTLA4/CYLD/DENND1B/ELF1/F2RL1/FCGR2B/FCMR/FCRL3/FGR/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GPR33/HLA-DRB1/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC6/IGLC7/IRAK4/ITK/KLHL6/KLRC1/KLRC2/KLRC3/KLRC4-KLRK1/KLRK1/LAPTM5/LBP/LCK/LCP2/LILRB4/LPXN/LTF/LY96/LYN/MALT1/MAP3K7/MEF2C/MFHAS1/MNDA/MS4A1/MYO1G/NCKAP1L/NCR3/NFKB1/NFKBIZ/NMI/NOD2/PDE4B/PDE4D/PELI1/PIK3AP1/PIK3CD/PLCG2/PLCL2/PLSCR1/PRKCB/PRKCE/PTPN2/PTPN22/PTPRC/PTPRJ/PVRIG/RAB29/RC3H1/RFTN1/RIPK2/S100A14/SKAP1/STAP1/SYK/TAX1BP1/TEC/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TMEM126A/TNFAIP3/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC1/TRGC2/TXK/UBASH3A/UBR2/VAV3/VTCN1/ZAP70";136
"GO:0030595";"leukocyte chemotaxis";"107/3571";"240/18986";0,445833333333333;2,37037011108;10,2829483297902;3,3456576784847e-20;2,58577517825886e-17;2,33623753943662e-17;"ADAM17/ADAM8/ADGRE2/ALOX5/ANO6/C3AR1/CALCA/CCL11/CCL13/CCL18/CCL19/CCL2/CCL21/CCL26/CCL3/CCL3L1/CCL3L3/CCL4/CCL7/CCL8/CCR1/CCR2/CCR5/CCR6/CCR7/CD300H/CH25H/CSF3R/CXADR/CXCL1/CXCL10/CXCL13/CXCL17/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR1/CXCR2/CXCR4/CXCR5/CYP7B1/DEFA1/DEFA4/DEFB131A/EDN1/F2RL1/F7/FLT1/FPR2/GPR18/GPR183/IL10/IL1B/IL6/ITGA1/ITGA9/JAML/KLRC4-KLRK1/KLRK1/LBP/LYN/LYST/MDK/MICOS10-NBL1/MMP2/MPP1/MSMP/NCKAP1L/NEDD9/NOD2/PADI2/PDE4B/PF4/PF4V1/PIK3CD/PIK3CG/PIKFYVE/PLA2G7/PPBP/PTK2B/PTPRJ/PTPRO/RAC2/RIPOR2/S100A14/S100A8/S100A9/S1PR1/SAA1/SCG2/SFTPD/SLAMF1/SLAMF8/SLC12A2/SRP54/STAP1/SYK/TNFAIP6/TREM1/TRPV4/VAV3/WNT5A/XCL1/XCL2";107
"GO:0050853";"B cell receptor signaling pathway";"51/3571";"79/18986";0,645569620253165;3,43231162423035;10,4267727963792;4,96660425489175e-19;3,41205712311063e-16;3,08277997435211e-16;"BANK1/BCL2/BLK/BLNK/BMX/CD19/CD22/CD38/CD72/CD79A/CD79B/CTLA4/FCGR2B/FCMR/FCRL3/GCSAM/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC6/IGLC7/ITK/KLHL6/LCK/LPXN/LYN/MEF2C/MNDA/MS4A1/NCKAP1L/NFKB1/NFKBIZ/PIK3CD/PLCG2/PLCL2/PRKCB/PTPN22/PTPRC/RFTN1/STAP1/SYK/TEC/VAV3";51
"GO:0050851";"antigen receptor-mediated signaling pathway";"95/3571";"212/18986";0,44811320754717;2,38249155936448;9,74272565528485;2,83431581462149e-18;1,75245746818047e-15;1,5833383187575e-15;"BANK1/BCL2/BLK/BLNK/BMX/BTN2A2/BTN3A1/CCR7/CD160/CD19/CD22/CD226/CD28/CD38/CD3D/CD3E/CD72/CD79A/CD79B/CD8A/CD8B/CTLA4/CYLD/DENND1B/ELF1/FCGR2B/FCMR/FCRL3/FYB1/GATA3/GBP1/GCSAM/HLA-DRB1/IGHA1/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC6/IGLC7/ITK/KLHL6/LAPTM5/LCK/LCP2/LILRB4/LPXN/LYN/MALT1/MAP3K7/MEF2C/MNDA/MS4A1/NCKAP1L/NFKB1/NFKBIZ/PDE4B/PDE4D/PIK3CD/PLCG2/PLCL2/PRKCB/PTPN2/PTPN22/PTPRC/PTPRJ/PVRIG/RAB29/RC3H1/RFTN1/RIPK2/SKAP1/STAP1/SYK/TEC/THEMIS/TRAC/TRAT1/TRBC1/TRBC2/TRDC/TRGC1/TRGC2/TXK/UBASH3A/UBR2/VAV3/VTCN1/ZAP70";95
